name,price,millage,link
2018 Toyota 4Runner TRD Pro,46311,38981,https://www.cars.com/vehicledetail/9454be38-c89a-49c7-b62b-f0f792a47ddc/
2018 Toyota 4Runner Limited,39559,42644,https://www.cars.com/vehicledetail/f21b0ff8-c545-4372-a2b4-84910be0f1ef/
2018 Toyota 4Runner SR5,38196,39241,https://www.cars.com/vehicledetail/6ba5aaad-b92d-4d7f-96b2-2868736a03c7/
2018 Toyota 4Runner SR5 Premium,38431,63700,https://www.cars.com/vehicledetail/63a8f25a-bd44-49fc-9264-ad59f1e0ad0c/
2018 Toyota 4Runner Limited,47991,47239,https://www.cars.com/vehicledetail/362df5b9-ca54-40cd-bc72-35a630eaeaba/
2018 Toyota 4Runner Sport,33000,41858,https://www.cars.com/vehicledetail/ac1dd631-acf2-4270-acca-285e3d44e9a9/
2018 Toyota 4Runner Limited,46995,31704,https://www.cars.com/vehicledetail/db92b075-5376-44a9-9fea-fb7acdbe1a38/
2018 Toyota 4Runner Limited,46112,41107,https://www.cars.com/vehicledetail/58f6d418-ce82-4e37-bfd5-72cc9a6cb543/
2018 Toyota 4Runner SR5 Premium,39995,38854,https://www.cars.com/vehicledetail/62bb25c6-3963-496f-8caf-45766228a0b2/
2018 Toyota 4Runner SR5,37998,38936,https://www.cars.com/vehicledetail/ce721568-f874-41d7-868d-bf7bc08c89ba/
2018 Toyota 4Runner SR5 Premium,38178,36499,https://www.cars.com/vehicledetail/72dee2e4-7570-49fb-975b-24a031b83f70/
2018 Toyota 4Runner TRD Off Road,41998,29608,https://www.cars.com/vehicledetail/b497364f-eb7e-48cc-8802-3bb230cf3c42/
2018 Toyota 4Runner SR5 Premium,36995,44937,https://www.cars.com/vehicledetail/28089ae4-6af4-4e3c-8bfc-8f0c1a5c545f/
2018 Toyota 4Runner TRD Off Road Premium,37888,82648,https://www.cars.com/vehicledetail/864557d9-f49d-45e0-a8af-ba8252319a0b/
2018 Toyota 4Runner SR5 Premium,38994,39411,https://www.cars.com/vehicledetail/24dc88c6-2524-457c-a0f6-54016091d029/
2018 Toyota 4Runner SR5,37183,40815,https://www.cars.com/vehicledetail/d97a8195-c837-4c3d-835a-42d26f21b134/
2018 Toyota 4Runner Limited,43490,29090,https://www.cars.com/vehicledetail/5b4d55c9-324d-401c-a15e-6a4509320213/
2018 Toyota 4Runner Limited,46028,92524,https://www.cars.com/vehicledetail/369c70fb-1968-48c3-b7ca-b91e0c818754/
2018 Toyota 4Runner TRD Off Road Premium,43991,43118,https://www.cars.com/vehicledetail/6f71e2d8-6ba0-4d5f-8dbe-c9478210396a/
2018 Toyota 4Runner Limited,41614,34505,https://www.cars.com/vehicledetail/baf4a775-b918-4edd-810e-835b72f48312/
2018 Toyota 4Runner SR5,34991,76165,https://www.cars.com/vehicledetail/f40b8f15-1662-4dce-bb93-8ceb1def7a63/
2018 Toyota 4Runner ,39994,43551,https://www.cars.com/vehicledetail/d424ee5e-f95c-4621-b6ab-ea8233684da1/
2018 Toyota 4Runner Limited,43591,57739,https://www.cars.com/vehicledetail/408645cd-114b-4175-933d-711f9e7f6205/
2018 Toyota 4Runner SR5,38355,41926,https://www.cars.com/vehicledetail/9dc8624c-5691-4848-87d5-f53ae65aa728/
2018 Toyota 4Runner TRD Off Road Premium,37998,69698,https://www.cars.com/vehicledetail/b574b778-aaec-4506-9512-c3327a62c78b/
2018 Toyota 4Runner TRD OFFROAD,39999,18745,https://www.cars.com/vehicledetail/60fa5949-2c3d-4124-82c7-0fa609e8cd69/
2018 Toyota 4Runner Limited,44383,29700,https://www.cars.com/vehicledetail/51b33177-fd5a-41d2-9c6a-621541cf0882/
2018 Toyota 4Runner SR5,36590,28053,https://www.cars.com/vehicledetail/69aaff26-4526-4751-81d5-20512cf28b2d/
2018 Toyota 4Runner SR5 Premium,36990,65941,https://www.cars.com/vehicledetail/c4cf5eb8-ca58-41fb-9ece-aa97c2d912c4/
2018 Toyota 4Runner SR5,36196,44049,https://www.cars.com/vehicledetail/8d820ded-155a-4e8c-8b9c-509c47d26ee3/
2018 Toyota 4Runner Sport,38971,42795,https://www.cars.com/vehicledetail/baf1bb9d-4498-426c-812a-80799c112b4b/
2018 Toyota 4Runner SR5 Premium,35662,80318,https://www.cars.com/vehicledetail/a8f4ae68-9be3-4139-928c-f7be5904cfdd/
2018 Toyota 4Runner TRD Off Road Premium,42998,37310,https://www.cars.com/vehicledetail/cc7edfa4-ade4-4e52-90c8-196b4e495f19/
